id,fecha,cantidad,tipoTrans,cuentaOrigen,cuentaDestino,dateCreated,lastUpdated
208736,2022-02-19,383658.1557614027,3X,8nUZJcEYrPdsINilqrh1GHk7fdO,MJcO8ISkugTxoTHg56ZeysS0FTy5FMbQQpdGL9bcHc4F55kKmPt5I1wO48UJd88qj6fpsZpxdNHtqpDfiheKM22ntBUGTf4Baa4x6xm6g1QhtmdhZtCHtyKailr2CJkxyTcXPsdZJPDfjEZi7KjHY98YzTFwlzRsnQhI7oRoZsHLQ9ZmYr4Sdx68scTjrSWat5HU4CuoU4MeENmoDKqShZMQ9m,2021-08-29 08:14:09.842147,2023-05-10 09:34:54.492360
879357,2021-12-22,545549.6495463734,xQWA2,SPjC0FSlxiurvzgC1RcTCfx8LADMwlfOgMa41Dw6FJABDBJZesiso3dBPl0MIz7MeZ8mC2Y3yMPOHXyX21BQ7VUDOl,gqvU263tOfYg3r6YSG2nkLE3M8b6oVn9p42m14y2PYQou4d7ExiqaXVLbDQ3KXXUAxKrZ2KYkZ1vY6mDlCNYwnFPQzCAiRKDiQVI5WIuVJZpl9yr2sAQgenDzeaR3c53YobylORTKs6LQGda,2021-06-01 15:06:22.895139,2019-03-21 00:34:15.060579
506879,2020-03-09,724028.936788756,5mY1,5XVkjrwSM6Hov91A44NSOhjxuPrS45zK7QhlANrKvYk4BFNlgaS9LbklqG6EwRIsYz6Afz5JCeAY6lyJ2T6F5BGaLYCfC5IAVC1hV7qGb7OaBKounAdxIQNxkkg6hxHYK5zriEWfDPMJUh8J7FqczHlUDpozxlOrZ8XTeQSNYB3RBecERX225XUQpIROl0DIvUBXux4Zrux58FpbdPRtKfCDoPig9CrJ7Z9AmZ9w1,2CsZCG4dXJZO40IrP19evo3Am4gguIKGEOZJhJr4rXVrAsxexwC46WdvqExNSm2xB868ipGnJ,2020-03-10 23:08:02.198567,2023-01-23 04:41:23.219459
894503,2022-12-18,943479.5707323421,I,ziodYZJIrq9OpA6ppjyQe1AmTf3WERpI3QvrDvp5TkJc5CgKZGr90jCUEnOlP8Guf8Keiyl6Hlbnt3kvD2wqFuo2JFWgPZ9DLqh1s9q3LILFu4rBLXAK763w8AOHt06LrdnMTCrLGlDbIWfzwd3y3gIBhLrkcKwTe7JxqSvvQubjnMR1Ob1OZVLBYIpIWi5GBorY51QLttETDLFeLYtUWmZqo9TCePxEAksNA9bR2vgVzTr9EQ6kVAcKLAuDpYV,Eo7WW7cXue1naw6rQr9,2022-01-08 17:07:36.229774,2021-12-05 19:11:34.641728
68848,2020-11-25,390160.83518426574,CPn3up15MZ,XpFjXv8KhD9azImzkAhP8Fv2R4JNGIThzlX7b2C9Gzi42zxD4nNMnA0sd,e8PS7TVStbtsrjRfWpHl9SgcrSe7PRene5ObHvP5lvSsDCBFd4HyMT06yzPhJCY4nOyc,2021-01-19 07:06:13.715366,2020-07-01 16:55:14.316124
770373,2022-04-24,996595.1485607851,4ZRme4U3,AXN80A0YNwdjPpPNuSj7Ty0dpEThZCEQ0m8uWrgCF61gzdJtnqdHTqf0GteTaHnjkkRWAPeXALzDPQQ5nHFLgJJQMYkjXjUTPjUy44xc9Vsc00zez7rbQfMowSZWaLlGqs5,6bMToyqVdTJhQUtU4VTmhgWsvW1m1r9VmFs5oKJFIUz8GioWfshFoESkbyVZgunu57anhe4TpMsiKOTO1dx7ZdtolN2cuCBLxTBWSq9mWDehZkbGTzKwLWxO9J8qafjFGrw7SjkCZGrTdmEiQSV7xc58FmbTx47uIjD19JQDtF7ILbKkcGZQhrNeMMgwfr5AwhbdGNUjTYtSidG2iODckNFIbZqvNtKP,2019-09-05 11:39:54.538080,2019-04-30 00:12:15.448403
329064,2019-06-02,459755.1240000807,0M33WSCwD,juBY5ibzUwiUN8LoYzLjK4s0blzJ3FNjQLcXVyHe6ma4ybmN84nli2yyg4WDq3xXpd4BdIDU3oB9YJEOHUk2HQBDqsf9sjb7Nba,4Dt6LJEjZ0JNTCuZqTN1XWAoEfBNQz8n0Ynn1sHXzk8Y3JpqFH7wypUlJE6MOaWwDQ872hiOs13EtxbjZycNelHFTsKDT7hUm4TSPoZFXIGbYMDKUkKcQNKpzXxaz5UduicvyqSqyhENpIbWGOuey7OYEHd3DGYPNQ4TRJR,2022-09-28 02:17:28.667523,2021-01-30 13:25:16.095467
331825,2022-05-13,730639.3494919454,ugYJkXRgVQ,6oPcvDHcMoKJbCCkNmTJ0f17g9KR2ugYmHEJWNU9sUz7XXayqEOT1y6OhKIeOijHWkD37GSIV8IdBEB,GwdunQ9d6QnzN8pzn88EaangPkY8XVWMBazYLj0mob8ChavT3uDANTCnAGwcLQRSnFWUxMhZlGbPBA6aUkT4KDICcAjVtiEmcQJvQv2KhZxWahZFOvvjMD5RvC1wD4VtA02Z6X1lKdY1iDj86DVNDOhrZcrQVAi5BMTEFuEYI1BVYFTJm17aTffhC,2022-11-07 20:39:28.897120,2022-12-17 08:41:50.545114
877910,2021-10-02,675712.3507431799,XX6rES23qg,1RajwmZHdh1EIweBK2WRVwvj4ugvnsM6Bpr3vaRQGaxi1HLoKydIm3jkqynlWMSJqgYHx9K60AuRGnpGlZ1cKr6zOje2z91R7WnHyFZoBwdeCOEixeBtuklN8c6v9wOOFIYSggXQFFkNFw80V5OFclFwuTY2BC4sht1RXpcfZoH1lbYa11VAH26Ki1UsHPnTxfqC,fcHR6CGMCjDg2YqjwwZMtEIsxgemTEkLxNmtx99nFrG8ZgOuvwODfv1dL0prnpYivEH1RZrTvNPlYbndkKWMuLDO7twNTbkez0E6T3WqMiYBLdQ4jFDDYJXKBBSVjmRrI7hB5CG9HbtylBXsGQ8TXT2htbQLlcpGGDopYi19LTaB4CJYEYFLdjFY,2020-02-07 19:48:44.288674,2019-09-09 23:11:08.410393
114270,2020-06-21,287889.8625850871,z,pesphsu1isNozlST97xQBkWI82RfSZ5vEYEBYbm8XD7XjliPISQ5PwdyURuNPACvKUPj0yDx0i3JvJfwoyz6klOwFeG5eVw0V7sZQ28jtb4Ux9u84rpDgObxZQa4hfu2UpOhkiKLFISWr5uawU7A9ShHbeweP9hlQ3dvteCF0IU6lc5pRbhstds9BDy,pIdStgpOORj5kErHRo3mn2DjacVm2gYp4BHCPOf4pRYmh6XxtuZJcZw1Msk3ek9YDDrfU4Pz34KJrOJdT7OIb8fGoEku5RhSvFcGo828Zp5MQ7u2RDZFqRozhuisip9gzNSS6IP5P0euKljaKCPT2r9RVICfeEvpvlBE0FLKE4c59vN4Xa9QQXkAlNKUBcnv7mNHccOs,2022-10-28 08:58:54.803657,2022-08-26 14:43:41.169539
92189,2019-02-22,894526.4004685545,uC,2uebjdHLvvspFkJae2GCecxFElDJZPWMGxckKj7jyAQoTMj492bY2cIjjc88SmYDjLQifCUyDZXNRBXUQQs7oc0qlGEW01Nov4Uf,5FQxuJ6PbizvxQYOUXNYNm7neZeYzMXqyHAVeiETKupZcvYY8,2019-04-18 04:39:53.395746,2020-03-14 08:43:41.189535
714230,2020-12-10,480730.6120192637,DTIuRX,q3Mjw1vKT0A9TSNOepn7PHvg3VWD4IiXBD90Xid5uAtyqXcHSw66lWLuixwNiFrs3kwIX1p3yWl5Aa6MYmqSNOmM9Xie39Sw3EqUZAZJ3Y8EfKd9RiXUebXHMe9iunJY3PCyHso1sH8LILGwK0iIZZKUt5wlihwsnq6JDixNEgfKIhGWYrXRhuoEzvnHqSuJcGIlp6BiZSN6NrPl2ZNQjFhADdbCa9IC4W46JxFeL1gZpLLLtGR3Nrz,5USqUBLAdwwKhKoA26E9rpYaavljcQqh4W9hW8ZEhxQgDqRNWqL4AHOsNHZelE5vUDPJjlP6g766ZeMRRtkVYKgaVYGnjfroxN3AFk8ywUwpNOZT5mV2NQLk6PR2zNefhxZMQWQJ7NmWfxLJDSUr4,2021-06-22 13:31:00.922222,2019-01-30 15:09:00.241508
231563,2019-12-31,776938.6713834438,yBK0mY,LB6BtCl86AT6sOJY4vSepgzQzuM2jqJdwMNRlm1OgnppKoyQxL5OAtGCTYtJhfLWLhKV4BedorFBQVS6xCfFOraB70Mc0225pJFUmt5pUfV9UdghozeBAVE0xEmiGDm1NXRfachHKkTgmIsypCEcym4evAxInbdu23FtJNLmucJcXFRKmsaE3MiwrDfF9yVbXpoLvZcvaImJ9ZHPhvr3nGtSyeix8PiQn3Tc8chRCM7I7Dm,Kg4Sxc2FtcFoGy8oKMOPBMamUCOYZFaCPQIJZZV3PmfSlUtXJ7OIksNH2EolnTBRg01ujywPjWnZBeHkPrEB4bgN3KlSdJkxxx3xiNzsZLEV2XYtuqPyx54ckxpYZ4nyRxGmTyNqQCIg1pYy0EXcVSupx4nAN4rV3Crj7W5Otjbm8miiym8NpoPhAoRRrFYsSEWI89pxH,2021-04-25 14:36:06.667546,2022-08-27 14:54:40.150367
256638,2020-11-01,183421.12864884918,Oi9FrNcdl,ruBSiDErRGjIhAvaAx6iORv0rVYKySNc0nq,DV651CEaL5zbwJAdUH6FRyOok2TkdaSWkZxaVXnVbswUY7SszN0Uq6CLwYDBTFa8dkMOluCs806m3AqtuCqUyUTpRDgI4waVSPwmA319zTqruBOUPwHekPZiVmyPKz5OKg2uhaXlURntgxRHFkzznDcbgs18mT6hYwZRhnfDkWE7ikMoDA3ZSTH0ChnaLgji9Z9Sut,2022-07-19 18:34:20.981592,2020-11-20 12:25:34.631049
198357,2021-10-29,697643.9754454697,bROQx,48MAtyO1Q51xRfovbsB25OS,oMLBAyZdkcg7fNrOksYIXz5cFQ4v3bW5qt1nH41qoaUeR1eBON4KwTeZ67ggBfUjY6QsW5EnCMuxySuhbVkfktBePmtX41qmuoI1UeH1vNyQ5xWbxHDnydlwnPvvRPn4oDYQH1J4dWQT2MvyyhbEDES7OIUvORe7Z7fhO43ve747eh6SYKQXOD4Dhrl,2021-04-05 23:32:34.017261,2021-07-16 13:06:56.022402
52269,2023-11-15,298185.9174172639,d6L1oZ,8HbLkKVUsolOsZI2ipiOxYR3t3gMlkFQzWXa3vXR5fP6Q0o11dR6TmGRJowPamPVc1oPAt4fE0F4BEzxEKoBgfkS7TZHn6O1YOn4E5vYwQ5sTq5y3HCJDIXPoof3AEkhATMRSHx3Pn,crs1Tpag7ioKgMBWsq9QiB4oMwiHjJlGw1eVkiN30o8a5Cue,2020-03-04 18:56:32.276392,2019-09-21 00:21:57.077141
875833,2021-05-25,385438.05605764466,S,8xUDK8WeVOTeTGF8QVj2VxFTSQtnJHCsaNTu4VE2GQ1lAs9gv3B1SL,FAFTIg3sv378ssR2eWqDI6wf7nI1mxMl1kjHieL4ZCKhoKkflhYr41uh0W8B0wAQ5nFpzr3UZFYInxSnR1bQOn32e84dbDNkJ6UQLbsUn8N5,2019-03-18 15:57:45.736022,2019-03-10 04:34:43.947067
254743,2022-08-11,863134.4838958859,v8,xx45xDF52u76AKlyQGuwSL5IqrdzTrOIxT1V02AgzwMVK1zNqoYEpU7FH7YKXrrBaRZh9HFKmF56Zu7szu6dcRR1eVxEopNIyVGKUqurJWzWSYtVa0dOaDDBhWpqw2V,d9tbqulPcVNeCBRLvuUqG67cAYp4vpytbeJVBtN7yOLCVFxYamEeKHqu9OEGJ8aw1fOQ6FeQIVnlISKkrdhodDcBYaV1qUC50eJ2D7nEzxpKmCnQTln7guFE4XqN3LAseTpvjZ59WBMwGGL7Qi67Mr1T7,2020-04-11 04:05:31.519302,2020-11-19 11:20:50.307787
16601,2019-12-15,990684.5297261359,3HmFq2T,dHFlymTpT4T3euDTDq7xamqUFHq5Tg30Wweqe9cHhgN7vxLWJCgqt5074Kcafx8pwlJsqAvsjRBY8T4HnEy6IktpoBzEnlnhjDR5t9C62AzKIoZa5gUXfiJc4OQsgnpXm78GuNpAyVsQ7ubcsLgNkBv5Ftkpb0gC47st6KgI5UTYAERVLeGXhbjlrMI,xegFJvuIbNbpDWpAVCoipJRu5HVLt03Nq5frCFCb7cHI3F3P2tt9CqNKSY2tMGGXEqLAbRJB7j,2022-12-14 11:51:00.707086,2022-03-25 12:36:06.890570
730119,2021-04-28,497412.36642548203,j0ZCrdSC,xJX5VEn6OaBj9F1PlGL4tpzCC8M8EyN2vYMO8tJNUSLZqmO0xYn4aHSnOXuZkoHkv5bk7jwHt5uSYxCuSEtJGC14O63Rwwoz42nIn1V0dzcIC,53r0flopY6yp3Fm72OJ0Dg5KaE2fqiA2faFBa1hs2LONJCOIYH52LjHI8yvzAPIkvfbZbCwASQwdRttlIunXSnfG,2021-09-20 20:49:16.645356,2023-02-27 18:32:10.991186
621736,2020-08-06,754812.2122554858,Q,1ctKYhzG92eCmMhfTgV1jZb7G0iN29vPKB8zQWLvIubQK60CAumS6wdOWcIEjbjR8CYbpMNIWiwyARWC7uczHDgdX4ONJn0KLupdEkoMr9IY4TxHUxpt3BiHDs96em0cPULx23u9rPiBKhwV7wW40a5oGqyUoeCPMiwgPOa1JjsNOuFg7WFJOaSdfyefGAJsdb6RxfH0Ou9iegK,DEvh2vQ42wIn8GYTFg5LmSi6rC5sontiAX8karkwd4DwFnVsToS2WRvWqXaw0Gqb7NmShzJhf5Cj4uKL,2022-11-24 23:51:59.060060,2019-04-08 01:38:00.630798
174974,2022-06-02,955359.5732875448,LRHXt,ZMoy0Ti5FMw27AP8HA5FIZDdn7y5vL1pD86L5bnbplJIchu1gXh0ANneZBHWp,ETjVelgkg56bk0AbutWMw1j0zMGjYAHBxhJ7IOucPuEsoqluRqBQWwOpSTSx2UXb4l7yKjXymN1xU6dwMc6OACMD7bMt5vSt0yrIMYIDruqkpFtVpFaggxfW0JScWyomuX2spd6YmYAwA790KtW4Repew9ScoEN0FEDy,2021-11-13 14:21:39.530229,2022-06-14 11:58:21.922225
645542,2019-11-04,903610.7935618137,rQnlM5y3ib,1QmtT9wXlu5G0Xoh2iKjWGlJrNyOElXFCDByjLG40eat2TOmoc2AFlgcs3gWpDFjFde2PE9cwHZYjkDNtsq4pRnAD,Ywvx87qAcuHZZ5pxwlsxS3HMGByKXrAqrKujX3BrDXFu1aG2kWNX4mIm2UUTqyJjwgvtgWtiNVM1HRE4riL5lIitVaQFc97hOvY2TEw3mlPbbL6WBQc7JbH73C2iiicxmkVpQdskFgH23xMMnboWuui60PWyHeBOLtrPry5jP57Mvw91EiDQu6fAAydHcpiEmdAJ040gjprN3iApBIsWy,2019-12-31 07:07:53.390167,2021-04-01 04:07:18.395536
567744,2022-08-10,828954.3036466811,i,NZa8zc7FsUwhTKF8ztbrU8yxcVWHfIACS9iWPBugIPXtctyGROaVp0c8hic6rWdtMlwJUfWWKo0V1bEiNmk2beiRERot5LIfVhLJuBJGzhqpPO,5LjdxdGX1QLcE9gZmkFXEcmeJikmN3YB41tx7F6Az2OEvUtjajupFaqeo3Xu1BTScBB6DH5nC48WupqZ7ObYv9cdSMJNVJVt0P,2019-11-22 06:50:01.884044,2021-05-27 18:31:39.184505
959563,2023-07-09,399232.6450308629,PX,PcA3nb5HaIc9r79crdBEHPVhcuxzf80u9uVbOVnAf5TkpznNL1MZlTm0fzclIV6rPhRKSBbqmyDrwlleoMmiG7dMIakP,UAJt6kynQekVcf6bu0FvhK1z8fDskYmZmfjvdl1niOBN3McCGzdUaCV3f9xBPDUNXCOOJYYnRn4in0z80jJ2MeCYu9LeIGt9uCLtYZQ4sCMyvQmUDBzCwxzVLGkXGJR8AUxEDwEP306XyY9jnl6T82NuZ7Tg3baZf0Iyg36KzfFai5VcIrDLZFEzWkXFlI901MgyHORsT3bITohErzl,2022-02-18 01:09:51.510553,2020-06-15 14:08:00.027791
441322,2021-02-12,283424.2607637483,3,rfUCw6Jk8PUBBAzVQWwtdHLu2sil9LKAKnPnuirQvQfS1D5tG5a6rWiIlQsG5ENiZfjXrJgIT7dOwqFl0cQPJAlUXloU9KwawYe4cR8OdDsNWeOJZfIvfyXO9Hh8RFjbm3LEPGnFSyIGi6tpLGxDU14oGmiuUf7VrLSCAOlOKwK47B,gjJOGsrrYEWjr1js50t7G51Nn84iIEorNdV7SLaF0hPa4LNmhntftmFUpOHOgyGTeFRpca76K9sNpIylWohbKIV9EkK3m7fLy1oGkVK9XJaf9qRfd,2023-01-29 06:25:27.562797,2020-04-11 16:39:35.878577
670122,2019-09-27,458681.47420570155,p,oLQfWLYZfxL2G8ugyfD69hLvxLyu7hNj6CHrdAVUCUhSEZtI7doAr5wAs5zEuptNVOhYVmhKm5OeoT552gEU0oxniRkwGicbvngFimmOGdwaW9cZDu93g7mrO3ircB1HGme9dkk6AzfS8t8714d,zJtA8jJw6LrQergcQVtIDvCoDWPt5Ckk1NnClRbvWmq6lZGDNOYfruNn7YYP9qRVomgRuaM6vxOA3S4AyO6lI7tt22Vaao76ddgOrvQ9Y5NCeIJDDTzaL1DTVVd68OGtCKi9CkZlLmlAIkdZSkn8BWBaG76QvJWPLjq83YecS2iDjlgid2PlI1Cx5c,2021-09-02 07:00:05.257216,2020-06-22 05:25:02.772215
653122,2021-02-17,854128.6045592442,nf,fWoM2PzV5E4qrAJtbscqGJfpdk1mympE8gbWXE2N42n93rCL7ZkVtGBjjPhHc3z6Aa5zeS6Y1ynMj7SFdFEXWlEIN3XQ8c9xxK51BazjNyX34JQNtElQCn2FrntTOmNmzNImlCu6xdgGmfXOjpvcV6z0c0JZUOr1TARCGCulYNYNYi3yy9jc2Mfg5zYQ5GrHE1yBEUF4NsBgvlRMD9MUSRiXJjcmaGqH6D,zEvW1rpGTaX0KGNu3tOtjJUk3ZTl9JuPNAKGyXz5KTPHsxJ7WK7ksNdJL5DPL7AReYBsK00FixAIUKP3YojcP8X4ZcLAiUlpWiXQYeWoXvVeOF95FdIUhWdy7Zqk5EZmocatCEFrKMGLdZlHdXWGdv6JBiXZRGM9R9M2IL44za0rOKtZLQkxQ6XuRybwYRYCFrnlSiDWAUgeeCWwtspXTO9O0QEkelTovW4AYO4nrdEt7L,2022-03-15 23:14:13.029432,2020-12-07 12:11:30.301819
204228,2022-01-20,291346.72144883993,JEQ,SR3qcrEXMScaFuAuNrrPP37vnbT8ogvXsXUaoHIQXph22z4Y9KLhFDcbPbtdhBW2BpOZ0lM8emPJhXGd2zCJDlcapB3vKP5lk6EZg42FjyYeK1JjrDbLyXsG5Zmn9sl72XrWKZMuLnqybDyHU6XWvIdRihfU0IcW1LF2pmGfuEFOnJQStlI1ODS4vgZpAXdlhFD7BX5zilu2bmMo4T0DjOciH0Eb7tlrzsAe44w0bkkOOYXLoqI,SAIWZZBtnxGQLSPDn50bzavQ1mnbBdyybgYozAEetZG30MA34XcsUuSR52u5kLDDUr,2020-05-19 08:56:57.310574,2022-12-25 16:27:13.427200
625878,2022-06-29,698932.5388025275,6bwSE3O,S8Z3OqhaNTRmrztTs0crfFsf2Jt6B18dRlfRl1L1lLXdknCHNvc91M34XyK9iNcs5i9r4sup12hlf0udXiA,N5t866bXWBP5QOyV2wYUnyDUm4qxy00UcJxncrRjSuVRN1uZFyte0L38vo0OWvM3KeiBUbq7OnftggQemrvHMqCItkzOqDiq4WwewZXsMIOn2JFM9xyTCX8yJrfSWkrYvETIsrekpjrsrrI3klbHL271rAD2fVdD83py5MlfcOWhQLaDN4FPZrZTBQLJmefszcdH2aiPyfekztx7CJ5aadiFoKUxWqMD8Rel8wyUAwIgBp,2021-09-11 08:46:05.939873,2021-12-06 21:16:23.744950
65484,2022-09-11,828682.7003054419,m,vdpeuvP8SbfGGFYHETZwyiHANr70ojU2BrUyaHVObGM4OZqPTJADwEkStET5yWY7rg7DCon4RLMJd1UkMemF7vKbAPyYrhqvGDOcpDXETjqRcElikMJoTAyz6fCoZlnxJroiEUXHiO2jp9ZwvAj3mG5ogweb7whavx54B3gSGuUwSUzc1tCaoYNR5na3OC98hVkqMah53BOnOpDUytUgBRXCeb9FA,tD6AawSI,2019-05-13 02:54:30.536457,2022-07-17 13:22:59.929690
476886,2021-02-13,154338.16046448232,hYN,zJnsnXuW2eEm5U3p4ahYTOuyjsXZ7MQteOF04e,0HJBYwx9rG8IWvm9jDf2p8JENykXPuTtrNBC98VxgYjOWw56GaLhs74mH3helBAoAgIscnJ7pLy7xtAr9AvA783mLqyMI67f5z4bQPsOV18b1mCyoqvhHAJNSmkSYFC1nSVWEhRU0Yk1Uf3rJjsTepEHgDKq5Z6ZbKlk4Dlb9uk5sPE3sfXLJooPl4V70f0KbPwL1ByDNQz8FNKOmtiO7G8MCpEM6as939BhP7yhvk95uKG0BTgADTI45sTRS,2019-09-06 00:11:09.562615,2021-09-04 23:32:54.863757
867600,2023-11-17,750141.5862500756,8CA6jEq9,zAR6cmSEvDNrvUY7wY2XNCEKny7F4ymW5XIms3hrLvaz8iyaHJ53sjNfGAZRiKCxIXsvsPlOgi1aD4Wm3kdX3RWFhCpKgjVb170Pmnou6SYAiiZG6dw1ZhmHr9WdQ0Mug0nkG6ITxSB6V7msfHslvglnes8tgyZpw5Co9SGJbNOFyVDvOLIy7DJ8U94D9JiZ4Ojj3LICKqbn1q5WzIn3gTyF7YiA1I7ElRsjBQf9kLPY2zfpWvYlbRCzcj78Zw,5Bk3YChK8f3N0l2NpixI7OH4rNv2OhZmsl004wchE3IHjtWWjKIo30TpCCzbBXqbpN9UfqS4SyzfPqiyX2yJLPztqd5fgRogw6W1wt0gvLc1XrlRIdJF47hnbNkbwVvNTXuZBkqZMQvcDA4nIDAmwuOTr994dsoPQjfNWP,2021-05-29 14:52:11.004609,2020-07-04 07:19:22.996247
